
Category,Description,Purchase_Cost,Bar_Length,Usage_Per_Knife,Per_Knife_Cost,Fixed_cost
Abrasive,1x ceramic,6,,0.5,3,Y
Abrasive, 1x aluminum,2.5,,1,2.5,Y
Band saw blade,24TPI bi-metal x2,20,,0.05,1,Y
Electricity,"Furnace run, 4 knives",1,,0.25,0.25,Y
Fastener,loveless bolt,2,,2,4,N
Fastener,lanyard tube,0.125,,1,0.125,N
Fastener,Brass pin,0.145833333,,2,0.291666667,N
Finish,tru-oil,14,,0.05,0.7,Y
Glue,epoxy - 9oz,15,,0.066666667,1,Y
Handle Material,Wood scales (pair),25,,1,25,N
Handle Material,Natural Micarta,30,,0.1,3,N
Steel,Cru-wear,130,36,0,0,N
Steel,Magnacut,141,36,0,0,N
